COMP,x,y,band1,band2,band3,band4,ndvi,N_Actual,P_Actual,K_Actual
GBSM,494,590,445,576,410,3303,0.7625400213,2.98,0.17,1.03
GBSM,494,593,374,510,353,3418,0.802742616,2.74,0.17,0.96
GBSM,494,628,384,523,374,3454,0.799895779,2.45,0.20,1.00
GBSM,493,624,526,544,405,3135,0.7126468178,3.15,0.17,1.37
GBSM,493,603,469,602,382,2916,0.7228951256,2.22,0.14,1.03
GBSM,493,598,455,543,364,2988,0.7356956143,2.69,0.16,0.84
GBSM,493,590,435,572,389,3152,0.7574574854,2.96,0.18,1.17
GBSM,492,628,646,754,507,3130,0.657838983,2.35,0.17,1.27
GBSM,491,464,291,493,303,3235,0.8349404424,2.22,0.15,0.94
GBSM,491,462,318,535,318,3293,0.8238715037,2.29,0.16,1.37
GBSM,488,832,233,406,288,3519,0.8757995736,2.53,0.16,0.88
GBSM,486,832,236,408,278,3515,0.8741668888,2.18,0.15,1.04
GBSM,483,739,269,403,289,2831,0.8264516129,2.24,0.13,1.16
GBSM,483,740,272,422,295,3163,0.8416302766,2.49,0.13,1.11
GBSM,483,847,251,401,290,3288,0.8581520203,2.36,0.15,0.80
GBSM,482,780,300,443,307,3021,0.8193315266,2.83,0.15,1.45
GBSM,480,780,308,448,313,3177,0.8232424677,2.49,0.17,0.92
GBSM,480,712,272,410,305,3110,0.8391484329,2.05,0.12,0.73
GBSM,479,712,278,412,304,3057,0.8332833583,2.65,0.16,0.72
GBSM,478,632,349,487,340,2944,0.7880352262,2.08,0.14,1.15
GBSM,478,616,306,458,311,2843,0.8056525881,2.13,0.14,0.96
GBSM,477,633,320,475,321,2901,0.8013039429,2.50,0.18,1.16
GBSM,477,618,297,447,310,2931,0.8159851301,2.37,0.16,1.21
GBSM,476,810,257,435,289,3413,0.8599455041,2.81,0.15,1.00
GBSM,474,810,259,423,283,3188,0.849724398,2.28,0.14,0.69
GBSM,460,795,263,412,293,3027,0.8401215805,2.46,0.17,1.26
GBSM,460,796,268,416,292,2967,0.8343122102,2.47,0.13,0.86
GBSM,458,773,260,425,298,2948,0.8379052369,2.54,0.12,1.41
GBSM,459,637,295,465,297,3509,0.8449001052,2.27,0.16,0.96
GBSM,459,453,299,543,319,3259,0.8319280495,2.95,0.16,0.56
GBSM,458,639,337,514,319,3245,0.8118369626,2.51,0.17,0.80
GBSM,458,847,260,409,284,2984,0.839704069,2.85,0.16,1.06
GBSM,457,773,266,424,291,2939,0.8340093604,2.27,0.15,1.12
GBSM,457,453,300,529,316,3279,0.8323554065,2.90,0.15,0.73
GBSM,457,847,271,418,288,2928,0.8305720538,2.53,0.15,0.89
GBSM,457,734,286,414,305,2700,0.8084393838,2.74,0.15,1.00
GBSM,456,695,291,426,301,2929,0.8192546584,2.80,0.16,1.04
GBSM,455,734,274,408,304,2699,0.815674403,2.66,0.16,1.18
GBSM,454,695,302,423,303,2805,0.8056002575,2.30,0.17,0.92
GBSM,454,622,388,556,355,2914,0.7649909146,2.94,0.17,0.96
GBSM,453,622,367,531,351,2913,0.7762195122,2.33,0.16,1.25
GBSM,450,597,260,430,269,3101,0.8452841416,2.49,0.16,1.12
GBSM,449,759,255,405,291,2951,0.8409232689,2.54,0.14,0.90
GBSM,448,597,262,459,280,3195,0.8484234886,2.48,0.15,0.42
GBSM,447,759,261,407,300,2919,0.8358490566,2.55,0.13,0.98
GBSM,446,709,269,397,295,2897,0.8300694883,3.02,0.18,1.08
GBSM,445,709,283,405,299,2868,0.8203744843,2.98,0.17,1.24
GBSM,433,833,260,419,292,3290,0.8535211268,2.72,0.17,0.78
GBSM,432,728,317,456,325,2930,0.8047428395,2.31,0.14,1.11
GBSM,432,833,263,424,292,3274,0.8512864009,2.69,0.18,0.84
GBSM,431,728,312,459,323,2931,0.8075855689,2.58,0.16,1.30
GBSM,412,455,281,471,306,3256,0.8411082839,2.17,0.15,0.92
GBSM,411,455,278,475,305,3393,0.8485426314,2.34,0.16,1.01
GBSM,403,698,268,447,288,3013,0.8366351722,2.41,0.16,1.01
GBSM,402,697,278,467,290,2953,0.8279170535,2.35,0.16,1.24
GBSM,401,717,252,429,286,2970,0.843575419,2.39,0.14,1.17
GBSM,401,716,249,436,289,3063,0.8496376812,2.70,0.17,1.18
